Date,WORLD ex USA Standard (Large+Mid Cap) 
06/30/1998,1315.349
07/31/1998,1322.404
08/31/1998,1151.958
09/30/1998,1117.466
10/30/1998,1232.212
11/30/1998,1293.069
12/31/1998,1341.086
01/29/1999,1339.763
02/26/1999,1304.469
03/31/1999,1357.291
04/30/1999,1413.895
05/31/1999,1340.888
06/30/1999,1391.724
07/30/1999,1430.152
08/31/1999,1432.584
09/30/1999,1446.421
10/29/1999,1500.686
11/30/1999,1551.577
12/31/1999,1692.696
01/31/2000,1588.323
02/29/2000,1631.812
03/31/2000,1697.192
04/28/2000,1607.601
05/31/2000,1567.088
06/30/2000,1633.145
07/31/2000,1569.162
08/31/2000,1588.111
09/29/2000,1504.294
10/31/2000,1461.792
11/30/2000,1401.389
12/29/2000,1448.888
01/31/2001,1451.202
02/28/2001,1335.023
03/30/2001,1241.334
04/30/2001,1325.205
05/31/2001,1277.88
06/29/2001,1223.964
07/31/2001,1201.945
08/31/2001,1167.798
09/28/2001,1048.444
10/31/2001,1073.807
11/30/2001,1115.179
12/31/2001,1122.051
01/31/2002,1064.496
02/28/2002,1069.65
03/29/2002,1123.413
04/30/2002,1127.691
05/31/2002,1138.761
06/28/2002,1090.626
07/31/2002,981.421
08/30/2002,977.546
09/30/2002,872.493
10/31/2002,917.691
11/29/2002,958.859
12/31/2002,927.278
01/31/2003,891.439
02/28/2003,872.293
03/31/2003,851.892
04/30/2003,930.247
05/30/2003,984.339
06/30/2003,1006.031
07/31/2003,1028.062
08/29/2003,1052.01
09/30/2003,1081.845
10/31/2003,1148.891
11/28/2003,1173.285
12/31/2003,1262.71
01/30/2004,1279.702
02/27/2004,1307.568
03/31/2004,1309.036
04/30/2004,1271.116
05/31/2004,1272.104
06/30/2004,1298.99
07/30/2004,1258.46
08/31/2004,1260.489
09/30/2004,1295.439
10/29/2004,1341.197
11/30/2004,1427.834
12/31/2004,1487.234
01/31/2005,1457.265
02/28/2005,1519.574
03/31/2005,1479.57
04/29/2005,1436.585
05/31/2005,1433.365
06/30/2005,1453.888
07/29/2005,1500.109
08/31/2005,1537.706
09/30/2005,1605.146
10/31/2005,1552.556
11/30/2005,1590.651
12/30/2005,1663.543
01/31/2006,1768.044
02/28/2006,1759.961
03/31/2006,1808.869
04/28/2006,1890.896
05/31/2006,1810.366
06/30/2006,1804.388
07/31/2006,1820.014
08/31/2006,1867.185
09/29/2006,1862.597
10/31/2006,1935.247
11/30/2006,1989.163
12/29/2006,2045.036
01/31/2007,2056.609
02/28/2007,2070.83
03/30/2007,2116.009
04/30/2007,2205.29
05/31/2007,2243.518
06/29/2007,2242.06
07/31/2007,2209.64
08/31/2007,2172.445
09/28/2007,2291.978
10/31/2007,2389.569
11/30/2007,2292.321
12/31/2007,2247.967
01/31/2008,2044.092
02/29/2008,2077.853
03/31/2008,2039.001
04/30/2008,2143.182
05/30/2008,2161.756
06/30/2008,1990.71
07/31/2008,1918.442
08/29/2008,1839.809
09/30/2008,1569.736
10/31/2008,1242.112
11/28/2008,1171.218
12/31/2008,1231.743
01/30/2009,1115.839
02/27/2009,999.879
03/31/2009,1061.261
04/30/2009,1192.715
05/29/2009,1335.224
06/30/2009,1318.736
07/31/2009,1441.328
08/31/2009,1506.642
09/30/2009,1565.318
10/30/2009,1539.338
11/30/2009,1573.659
12/31/2009,1597.281
01/29/2010,1521.729
02/26/2010,1517.4
03/31/2010,1608.794
04/30/2010,1580.341
05/31/2010,1397.828
06/30/2010,1375.32
07/30/2010,1501.212
08/31/2010,1453.045
09/30/2010,1588.119
10/29/2010,1643.519
11/30/2010,1570.528
12/31/2010,1695.576
01/31/2011,1730.912
02/28/2011,1791.9
03/31/2011,1749.016
04/29/2011,1837.775
05/31/2011,1772.492
06/30/2011,1744.037
07/29/2011,1714.032
08/31/2011,1564.715
09/30/2011,1402.614
10/31/2011,1538.103
11/30/2011,1462.498
12/30/2011,1445.066
01/31/2012,1521.751
02/29/2012,1601.262
03/30/2012,1582.66
04/30/2012,1549.291
05/31/2012,1363.978
06/29/2012,1450.255
07/31/2012,1467.193
08/31/2012,1504.51
09/28/2012,1544.968
10/31/2012,1554.518
11/30/2012,1583.973
12/31/2012,1630.094
01/31/2013,1708.831
02/28/2013,1688.36
03/29/2013,1694.738
04/30/2013,1764.429
05/31/2013,1716.394
06/28/2013,1649.122
07/31/2013,1735.944
08/30/2013,1709.13
09/30/2013,1825.328
10/31/2013,1885.382
11/29/2013,1893.167
12/31/2013,1919.917
01/31/2014,1841.299
02/28/2014,1938.004
03/31/2014,1921.734
04/30/2014,1945.638
05/30/2014,1965.025
06/30/2014,1989.428
07/31/2014,1952.986
08/29/2014,1949.698
09/30/2014,1865.119
10/31/2014,1834.24
11/28/2014,1853.542
12/31/2014,1790.535
01/30/2015,1783.035
02/27/2015,1886.644
03/31/2015,1847.267
04/30/2015,1920.997
