Date,Open,High,Low,Close,Volume,Adj Close
2000-03-27,1527.45996,1534.63,1474.63,1498.57996,1068560000,1498.57996
2000-03-20,1464.46997,1552.87,1446.06006,1527.45996,1038440000,1527.45996
2000-03-13,1395.06995,1477.32996,1356.98999,1464.46997,1238060000,1464.46997
2000-03-06,1409.17004,1413.45996,1346.62,1395.06995,1161580000,1395.06995
2000-02-28,1333.35999,1410.88,1325.06995,1409.17004,1170760000,1409.17004
2000-02-22,1346.08997,1370.10999,1329.15002,1333.35999,1063475000,1333.35999
2000-02-14,1387.12,1407.71997,1345.31995,1346.08997,1023060000,1346.08997
2000-02-07,1424.37,1444.55005,1378.89001,1387.12,1020160000,1387.12
2000-01-31,1360.16003,1435.91003,1350.14001,1424.37,1041000000,1424.37
2000-01-24,1441.35999,1454.08997,1356.19995,1360.16003,1106420000,1360.16003
2000-01-18,1465.15002,1465.70996,1438.54004,1441.35999,1113750000,1441.35999
2000-01-10,1441.46997,1473.00,1427.07996,1465.15002,1033940000,1465.15002
2000-01-03,1469.25,1478.00,1377.68005,1441.46997,1068760000,1441.46997
1999-12-27,1458.33997,1473.09998,1450.82996,1469.25,574918000,1469.25
1999-12-20,1421.03003,1461.43994,1411.09998,1458.33997,861675000,1458.33997
1999-12-13,1417.04004,1431.77002,1396.19995,1421.03003,1091880000,1421.03003
1999-12-06,1433.30005,1434.15002,1391.46997,1417.04004,1013780000,1417.04004
1999-11-29,1416.62,1447.42004,1386.94995,1433.30005,921740000,1433.30005
1999-11-22,1422.00,1425.23999,1399.17004,1416.62,711630000,1416.62
1999-11-15,1396.06006,1425.31006,1392.28003,1422.00,922900000,1422.00
1999-11-08,1370.22998,1396.12,1359.97998,1396.06006,887460000,1396.06006
1999-11-01,1362.93005,1387.47998,1346.41003,1370.22998,933780000,1370.22998
1999-10-25,1301.65002,1373.17004,1280.47998,1362.93005,972200000,1362.93005
1999-10-18,1247.41003,1308.81006,1233.69995,1301.65002,924980000,1301.65002
1999-10-11,1336.02002,1339.22998,1245.39001,1247.41003,812120000,1247.41003
1999-10-04,1282.81006,1336.60999,1282.81006,1336.02002,877860000,1336.02002
1999-09-27,1277.35999,1295.03003,1256.26001,1282.81006,887160000,1282.81006
1999-09-20,1335.42004,1338.38,1263.83997,1277.35999,794220000,1277.35999
1999-09-13,1351.66003,1351.66003,1299.96997,1335.42004,756120000,1335.42004
1999-09-07,1357.23999,1361.39001,1333.91003,1351.66003,772225000,1351.66003
1999-08-30,1348.27002,1357.73999,1304.88,1357.23999,703620000,1357.23999
1999-08-23,1336.60999,1382.83997,1336.60999,1348.27002,713790000,1348.27002
1999-08-16,1327.68005,1344.16003,1315.34998,1336.60999,660650000,1336.60999
1999-08-09,1300.29004,1327.71997,1267.72998,1327.68005,750020000,1327.68005
1999-08-02,1328.71997,1344.68994,1287.22998,1300.29004,747330000,1300.29004
1999-07-26,1356.93994,1370.53003,1328.48999,1328.71997,707010000,1328.71997
1999-07-19,1418.78003,1420.32996,1349.91003,1356.93994,716982000,1356.93994
1999-07-12,1403.28003,1418.78003,1386.51001,1418.78003,742060000,1418.78003
1999-07-06,1391.21997,1405.29004,1384.94995,1403.28003,761425000,1403.28003
1999-06-28,1315.31006,1391.21997,1315.31006,1391.21997,809396000,1391.21997
1999-06-21,1342.83997,1351.12,1308.46997,1315.31006,689752000,1315.31006
1999-06-14,1293.64001,1344.47998,1292.19995,1342.83997,757520000,1342.83997
1999-06-07,1327.75,1336.42004,1287.88,1293.64001,685380000,1293.64001
1999-06-01,1301.83997,1327.75,1277.46997,1327.75,706475000,1327.75
1999-05-24,1330.29004,1333.02002,1277.31006,1301.83997,782712000,1301.83997
1999-05-17,1337.80005,1350.48999,1321.18994,1330.29004,731760000,1330.29004
1999-05-10,1345.00,1375.97998,1332.63,1337.80005,791920000,1337.80005
1999-05-03,1335.18005,1354.64001,1317.43994,1345.00,869660000,1345.00
1999-04-26,1356.84998,1371.56006,1314.57996,1335.18005,899100000,1335.18005
1999-04-19,1319.00,1363.65002,1284.20996,1356.84998,958520000,1356.84998
1999-04-12,1348.34998,1362.38,1308.38,1319.00,933160000,1319.00
1999-04-05,1293.71997,1351.21997,1293.71997,1348.34998,773260000,1348.34998
1999-03-29,1282.80005,1313.59998,1282.56006,1293.71997,776050000,1293.71997
1999-03-22,1299.29004,1303.83997,1256.43005,1282.80005,744560000,1282.80005
1999-03-15,1294.58997,1323.81995,1291.03003,1299.29004,795420000,1299.29004
1999-03-08,1275.46997,1306.43005,1271.57996,1294.58997,818160000,1294.58997
1999-03-01,1238.32996,1275.72998,1216.03003,1275.46997,762120000,1275.46997
1999-02-22,1239.21997,1283.83997,1225.01001,1238.32996,761340000,1238.32996
1999-02-16,1230.13,1252.17004,1220.69995,1239.21997,707815000,1239.21997
1999-02-08,1239.40002,1254.05005,1211.89001,1230.13,734020000,1230.13
1999-02-01,1279.64001,1283.75,1232.28003,1239.40002,849560000,1239.40002
1999-01-25,1225.18994,1280.37,1219.45996,1279.64001,855980000,1279.64001
1999-01-19,1243.26001,1274.06995,1217.96997,1225.18994,837225000,1225.18994
1999-01-11,1275.08997,1276.21997,1205.45996,1243.26001,829000000,1243.26001
1999-01-04,1229.22998,1278.23999,1219.09998,1275.08997,887940000,1275.08997
1998-12-28,1226.27002,1244.93005,1220.78003,1229.22998,607867500,1229.22998
1998-12-21,1188.03003,1229.89001,1188.03003,1226.27002,592445000,1226.27002
1998-12-14,1166.45996,1188.89001,1136.89001,1188.03003,764840000,1188.03003
1998-12-07,1176.73999,1193.53003,1153.18994,1166.45996,706120000,1166.45996
1998-11-30,1192.32996,1192.71997,1149.60999,1176.73999,742660000,1176.73999
1998-11-23,1163.55005,1192.96997,1163.55005,1192.32996,595207500,1192.32996
1998-11-16,1125.71997,1163.55005,1125.71997,1163.55005,673098000,1163.55005
1998-11-09,1141.01001,1141.01001,1115.55005,1125.71997,648912000,1125.71997
1998-11-02,1098.67004,1141.30005,1098.67004,1141.01001,754500000,1141.01001
1998-10-26,1070.67004,1103.78003,1059.65002,1098.67004,707262000,1098.67004
1998-10-19,1056.42004,1084.06006,1054.22998,1070.67004,766888000,1070.67004
1998-10-12,984.39001,1062.65002,984.39001,1056.42004,839080000,1056.42004
1998-10-05,1002.59998,1008.77002,923.32001,984.39001,926580000,984.39001
1998-09-28,1044.75,1061.45996,971.69,1002.59998,810660000,1002.59998
1998-09-21,1020.09003,1066.10999,993.82001,1044.75,749436000,1044.75
1998-09-14,1009.06,1046.06995,1009.06,1020.09003,745140000,1020.09003
1998-09-08,973.89001,1027.71997,968.64001,1009.06,804625000,1009.06
1998-08-31,1027.14001,1033.46997,939.97998,973.89001,937900000,973.89001
1998-08-24,1081.23999,1106.64001,1021.03998,1027.14001,735200000,1027.14001
1998-08-17,1062.75,1106.31995,1054.92004,1081.23999,651188000,1081.23999
1998-08-10,1089.44995,1092.81995,1054.00,1062.75,674002000,1062.75
1998-08-03,1120.67004,1121.79004,1057.34998,1089.44995,770420000,1089.44995
1998-07-27,1140.80005,1147.27002,1114.30005,1120.67004,660250000,1120.67004
1998-07-20,1186.75,1190.57996,1129.10999,1140.80005,680056000,1140.80005
1998-07-13,1164.32996,1188.09998,1160.20996,1186.75,658982000,1186.75
1998-07-06,1146.42004,1166.93005,1145.03003,1164.32996,597310000,1164.32996
1998-06-29,1133.19995,1148.56006,1131.97998,1146.42004,633340000,1146.42004
1998-06-22,1100.65002,1142.04004,1099.42004,1133.19995,618700000,1133.19995
1998-06-15,1098.83997,1112.87,1074.67004,1100.65002,662152000,1100.65002
1998-06-08,1113.85999,1126.00,1080.82996,1098.83997,595436000,1098.83997
1998-06-01,1090.81995,1113.88,1078.09998,1113.85999,569796000,1113.85999
1998-05-26,1110.46997,1116.79004,1074.39001,1090.81995,592282500,1090.81995
1998-05-18,1108.72998,1124.44995,1097.98999,1110.46997,533680000,1110.46997
1998-05-11,1108.14001,1124.03003,1102.78003,1108.72998,593128000,1108.72998
1998-05-04,1121.00,1130.52002,1094.53003,1108.14001,578400000,1108.14001
1998-04-27,1107.90002,1121.02002,1076.69995,1121.00,656184000,1121.00
1998-04-20,1122.71997,1132.97998,1104.77002,1107.90002,650930000,1107.90002
1998-04-13,1110.67004,1122.71997,1100.59998,1122.71997,647018000,1122.71997
1998-04-06,1122.69995,1131.98999,1098.20996,1110.67004,615460000,1110.67004
1998-03-30,1095.43994,1126.35999,1090.02002,1122.69995,635572000,1122.69995
1998-03-23,1099.16003,1113.06995,1091.14001,1095.43994,620516000,1095.43994
1998-03-16,1068.60999,1101.04004,1068.60999,1099.16003,635636000,1099.16003
1998-03-09,1055.68994,1075.85999,1050.02002,1068.60999,620924000,1068.60999
1998-03-02,1049.33997,1055.68994,1030.87,1055.68994,632376000,1055.68994
1998-02-23,1034.20996,1051.66003,1028.89001,1049.33997,594544000,1049.33997
1998-02-17,1020.09003,1034.20996,1020.09003,1034.20996,597002500,1034.20996
1998-02-09,1012.46002,1026.30005,1006.28003,1020.09003,582066000,1020.09003
1998-02-02,980.28003,1013.51001,980.28003,1012.46002,677098000,1012.46002
1998-01-26,957.59003,992.65002,954.23999,980.28003,661366000,980.28003
1998-01-20,961.51001,978.59998,950.85999,957.59003,638322500,957.59003
1998-01-12,927.69,965.12,912.83002,961.51001,638920000,961.51001
1998-01-05,975.03998,982.63,921.71997,927.69,662476000,927.69
1997-12-29,936.46002,975.03998,936.46002,975.03998,444167500,975.03998
1997-12-22,946.78003,956.72998,932.70001,936.46002,366655000,936.46002
1997-12-15,953.39001,974.29999,924.91998,946.78003,650288000,946.78003
1997-12-08,983.78998,985.66998,947.00,953.39001,568558000,953.39001
1997-12-01,955.40002,986.25,955.40002,983.78998,597618000,983.78998
1997-11-24,963.09003,963.09003,944.71002,955.40002,444907500,955.40002
1997-11-17,928.34998,964.54999,928.34998,963.09003,570850000,963.09003
1997-11-10,927.51001,935.90002,900.60999,928.34998,554972000,928.34998
1997-11-03,914.62,949.62,914.62,927.51001,552976000,927.51001
1997-10-27,941.64001,941.64001,855.27002,914.62,804848000,914.62
1997-10-20,944.15997,972.60999,937.54999,941.64001,606116000,941.64001
1997-10-13,966.97998,973.46002,931.58002,944.15997,518486000,944.15997
1997-10-06,965.03003,983.12,963.34003,966.97998,534644000,966.97998
1997-09-29,945.21997,975.46997,941.94,965.03003,552278000,965.03003
1997-09-22,950.51001,960.59003,937.38,945.21997,536702000,945.21997
1997-09-15,923.90997,958.19,919.40997,950.51001,578566000,950.51001
1997-09-08,929.04999,938.90002,902.56,923.90997,521084000,923.90997
1997-09-02,899.46997,940.37,899.46997,929.04999,534160000,929.04999
1997-08-25,923.54999,930.92999,896.82001,899.46997,446092000,899.46997
1997-08-18,900.81,939.46997,893.34003,923.53998,508078000,923.53998
1997-08-11,933.53998,942.98999,900.81,900.81,527028000,900.81
1997-08-04,947.14001,964.16998,925.73999,933.53998,537272000,933.53998
1997-07-28,938.78998,957.72998,932.56,947.14001,528302000,947.14001
1997-07-21,915.29999,945.65002,907.12,938.78998,549710000,938.78998
1997-07-14,916.67999,939.32001,912.02002,915.29999,590136000,915.29999
1997-07-07,916.91998,923.26001,902.47998,916.67999,537058000,916.67999
1997-06-30,887.29999,917.82001,879.82001,916.91998,501845000,916.91998
